Name,Paleographic features
2147,א:head:shape:parallel
2151,א:head:shape:parallel
2157,א:head:shape:parallel
2160,א:head:shape:parallel
2160,א:head:shape:parallel
2163,א:head:shape:parallel
2164,א:head:shape:parallel
2165,א:head:shape:parallel
3015,א:head:shape:parallel
2171,א:head:shape:parallel
3016,א:head:shape:parallel
3016,א:head:shape:parallel
2174,א:head:shape:parallel
2182,א:head:shape:parallel
2182,א:head:shape:parallel
2184,א:head:shape:parallel
2187,א:head:shape:parallel
2190,א:head:shape:parallel
2190,א:head:shape:parallel
3023,א:head:shape:parallel
3027,א:head:shape:parallel
3035,א:head:shape:parallel
3044,א:head:shape:parallel
3050,א:head:shape:parallel
3050,א:head:shape:parallel
3058,א:head:shape:parallel
2006,א:head:shape:U-shaped
2080,א:head:shape:U-shaped
1002*,א:head:shape:V-shaped
1002*,א:head:shape:V-shaped
3001,א:head:shape:V-shaped
1047,א:head:shape:V-shaped
1050,א:head:shape:V-shaped
1065,א:head:shape:V-shaped
1012*,א:head:shape:V-shaped
1012*,א:head:shape:V-shaped
1019*,א:head:shape:V-shaped
2031,א:head:shape:V-shaped
2034,א:head:shape:V-shaped
2035,א:head:shape:V-shaped
2035,א:head:shape:V-shaped
2047,א:head:shape:V-shaped
2047,א:head:shape:V-shaped
2084,א:head:shape:V-shaped
3011,א:head:shape:V-shaped
2139,א:head:shape:V-shaped
2176,א:head:shape:V-shaped
3028,א:head:shape:V-shaped
3033,א:head:shape:V-shaped
3039,א:head:shape:V-shaped
3040,א:head:shape:V-shaped
3060,א:head:shape:V-shaped
2161,ב-ד:additional:ligatures:beth-dalet ligature
2161,ב-ד:additional:ligatures:beth-dalet ligature
2173,ב-ד:additional:ligatures:beth-dalet ligature
2173,ב-ד:additional:ligatures:beth-dalet ligature
3026,ב-ד:additional:ligatures:beth-dalet ligature
1009,ב–ד–ה:additional:ligatures:beth-dalet-he ligature
1009,ב–ד–ה:additional:ligatures:beth-dalet-he ligature
1009,ב–ד–ה:additional:ligatures:beth-dalet-he ligature
2088,ב–ד–ה:additional:ligatures:beth-dalet-he ligature
2088,ב–ד–ה:additional:ligatures:beth-dalet-he ligature
2088,ב–ד–ה:additional:ligatures:beth-dalet-he ligature
2012,ב–י:additional:ligatures:beth-yod
2012,ב–י:additional:ligatures:beth-yod
1007,ב:additional:absent/vestigial shaft
1023,ב:additional:absent/vestigial shaft
1039,ב:additional:absent/vestigial shaft
2005,ב:additional:absent/vestigial shaft
2035,ב:additional:absent/vestigial shaft
2046,ב:additional:absent/vestigial shaft
2099,ב:additional:absent/vestigial shaft
2138,ב:additional:absent/vestigial shaft
3028,ב:additional:absent/vestigial shaft
1001,ב:additional:diamond-shaped head
1007,ב:additional:diamond-shaped head
2004,ב:additional:diamond-shaped head
2064,ב:additional:diamond-shaped head
2068,ב:additional:diamond-shaped head
2148,ב:additional:diamond-shaped head
2181,ב:additional:diamond-shaped head
2182,ב:additional:diamond-shaped head
1009,ב:additional:elongated foot
3006,ב:additional:elongated foot
2008,ב:additional:elongated foot
2012,ב:additional:elongated foot
2088,ב:additional:elongated foot
2114,ב:additional:elongated foot
2173,ב:additional:elongated foot
1021,ב:additional:elongated shaft
2004,ב:additional:elongated shaft
2056,ב:additional:elongated shaft
3044,ב:additional:elongated shaft
1055,ב:additional:head protruding rightward
1055,ב:additional:head protruding rightward
2161,ב:additional:head protruding rightward
2173,ב:additional:head protruding rightward
2181,ב:additional:head protruding rightward
3049,ב:additional:head protruding rightward
2044,ב:additional:open head
1004,ב:body:inclination:oblique
1007,ב:body:inclination:oblique
1009,ב:body:inclination:oblique
1010,ב:body:inclination:oblique
1027,ב:body:inclination:oblique
1028,ב:body:inclination:oblique
1028,ב:body:inclination:oblique
3004,ב:body:inclination:oblique
3006,ב:body:inclination:oblique
3007,ב:body:inclination:oblique
3008,ב:body:inclination:oblique
1033,ב:body:inclination:oblique
1033,ב:body:inclination:oblique
1038,ב:body:inclination:oblique
1040,ב:body:inclination:oblique
1042,ב:body:inclination:oblique
1055,ב:body:inclination:oblique
1055,ב:body:inclination:oblique
1058,ב:body:inclination:oblique
1058,ב:body:inclination:oblique
1064,ב:body:inclination:oblique
