Name,"Paleographic features"
"1004 Mem-1","מ:additional:head missing one connector"
"1004 Mem-1",מ:foot:footless
"1004 Mem-2",מ:body:inclination:vertical
"1004 Mem-2","מ:head:shape:uncrossed parallel strokes"
"1004 Mem-2",מ:tail:shape:straight
"1004 Mem-2",מ:foot:footless
"1004 Resh-1",ר:body:inclination:vertical
"1004 Resh-1",ר:head:shape:triangular
"1004 Shin-1",ש:body:inclination:vertical
"1004 Shin-1",ש:body:shape:w-shaped
"1004 Yod-1","י:horizontal strokes:parallel horizontal"
"1004 Yod-1",י:body:inclination:vertical
"1004 Yod-1",י:foot:direction:horizontal
"1004 Yod-1",י:foot:length:long
"1006 Aleph-1",א:body:inclination:vertical
"1006 Aleph-1",א:head:shape:parallel
"1006 Lamed-1",ל:body:inclination:oblique
"1006 Lamed-1",ל:shaft:straight
"1006 Lamed-1","ל:foot:shape:single stroke"
"1006 Lamed-1",ל:foot:inclination:downward
"1006 Pe-1",פ:body:inclination:oblique
"1006 Pe-1",פ:head:angle:acute
"1006 Pe-1",פ:tail:shape:straight
"1006 Pe-1",פ:foot:footless
"1006 Samek-1",ס:body:inclination:vertical
"1006 Samek-1","ס:horizontal strokes:number:two"
"1006 Samek-1","ס:shaft:crossing the head"
"1006 Samek-1",ס:ticks:number:none
"1006 Samek-1","ס:horizontal strokes:shape:straight"
"1007 Aleph-1",א:body:inclination:oblique
"1007 Aleph-1",א:head:shape:parallel
"1007 Aleph-2",א:body:inclination:vertical
"1007 Aleph-2",א:head:shape:parallel
"1007 Aleph-2","א:additional:lower crossbar extending left of shaft"
"1007 Aleph-3",א:body:inclination:oblique
"1007 Aleph-3",א:head:shape:parallel
"1007 Ayin-1",ע:body:shape:triangle
"1007 Beth-1",ב:body:inclination:vertical
"1007 Beth-1",ב:head:shape:triangular
"1007 Beth-1",ב:leg:angular
"1007 Beth-1","ב:additional:absent/vestigial shaft"
"1007 Beth-2",ב:body:inclination:oblique
"1007 Beth-2",ב:head:shape:quarter-circle
"1007 Beth-2",ב:leg:angular
"1007 Beth-2","ב:additional:diamond-shaped head"
"1007 Dalet-1",ד:body:inclination:oblique
"1007 Dalet-1",ד:head:shape:triangular
"1007 Dalet-1",ד:stem:short
"1007 Het-1",ח:body:inclination:vertical
"1007 Het-1","ח:horizontal strokes:number:three"
"1007 Het-1","ח:vertical protrusions:upper left"
"1007 Het-1","ח:vertical protrusions:lower right"
"1007 Lamed-1",ל:body:inclination:oblique
"1007 Lamed-1",ל:shaft:straight
"1007 Lamed-1","ל:foot:shape:single stroke"
"1007 Lamed-1",ל:foot:inclination:upward
"1007 Lamed-2",ל:body:inclination:oblique
"1007 Lamed-2",ל:shaft:straight
"1007 Lamed-2","ל:foot:shape:single stroke"
"1007 Lamed-2",ל:foot:inclination:upward
"1008 Het-1",ח:body:inclination:oblique
"1008 Het-1","ח:horizontal strokes:number:three"
"1008 Het-1","ח:vertical protrusions:upper left"
"1008 Het-1","ח:vertical protrusions:lower left"
